OutputArea,over16pop
S00137076,168
S00137077,133
S00137078,61
S00137079,72
S00137080,64
S00137081,106
S00137082,88
S00137083,115
S00137084,162
S00137085,102
S00137086,124
S00137087,119
S00137088,81
S00137089,73
S00137090,71
S00137091,72
S00137092,85
S00137093,101
S00137094,87
S00137095,86
S00137096,69
S00137097,64
S00137098,124
S00137099,52
S00137100,134
S00137101,145
S00137102,84
S00137103,135
S00137104,148
S00137105,116
S00137106,109
S00137107,106
S00137108,90
S00137109,65
S00137110,100
S00137111,71
S00137112,76
S00137113,78
S00137114,74
S00137115,80
S00137116,93
S00137117,85
S00137118,63
S00137119,110
S00137120,66
S00137121,88
S00137122,284
S00137123,87
S00137124,120
S00137125,85
S00137126,78
S00137127,137
S00137128,46
S00137129,105
S00137130,56
S00137131,66
S00137132,103
S00137133,86
S00137134,92
S00137135,67
S00137136,51
S00137137,70
S00137138,82
S00137139,119
S00137140,73
S00137141,224
S00137142,140
S00137143,110
S00137144,92
S00137145,99
S00137146,139
S00137147,77
S00137148,60
S00137149,197
S00137150,131
S00137151,162
S00137152,97
S00137153,99
S00137154,70
S00137155,93
S00137156,53
S00137157,103
S00137158,128
S00137159,141
S00137160,74
S00137161,125
S00137162,96
S00137163,107
S00137164,114
S00137165,94
S00137166,63
S00137167,109
S00137168,120
S00137169,77
S00137170,141
S00137171,58
S00137172,89
S00137173,126
S00137174,113
S00137175,129
S00137176,167
S00137177,71
S00137178,62
S00137179,122
S00137180,162
S00137181,86
S00137182,64
S00137183,122
S00137184,76
S00137185,112
S00137186,144
S00137187,149
S00137188,86
S00137189,70
S00137190,83
S00137191,126
S00137192,133
S00137193,67
S00137194,108
S00137195,95
S00137196,99
S00137197,124
S00137198,86
S00137199,85
S00137200,95
S00137201,112
S00137202,89
S00137203,123
S00137204,68
S00137205,138
S00137206,101
S00137207,79
S00137208,64
S00137209,65
S00137210,106
S00137211,113
S00137212,82
S00137213,130
S00137214,120
S00137215,75
S00137216,73
S00137217,92
S00137218,85
S00137219,75
S00137220,60
S00137221,78
S00137222,49
S00137223,77
S00137224,64
S00137225,79
S00137226,82
S00137227,91
S00137228,96
S00137229,109
S00137230,104
S00137231,68
S00137232,75
S00137233,117
S00137234,114
S00137235,87
S00137236,76
S00137237,68
S00137238,58
S00137239,56
S00137240,99
S00137241,95
S00137242,90
S00137243,58
S00137244,91
S00137245,82
S00137246,117
S00137247,105
S00137248,95
S00137249,56
S00137250,82
S00137251,180
S00137252,82
S00137253,124
S00137254,59
S00137255,103
S00137256,78
S00137257,110
S00137258,98
S00137259,103
S00137260,98
S00137261,68
S00137262,75
S00137263,121
S00137264,67
S00137265,138
S00137266,105
S00137267,120
S00137268,67
S00137269,91
S00137270,124
S00137271,76
S00137272,80
S00137273,95
S00137274,61
S00137275,119
S00137276,103
S00137277,145
S00137278,127
S00137279,106
S00137280,126
S00137281,96
S00137282,86
S00137283,78
S00137284,142
S00137285,57
S00137286,117
S00137287,108
S00137288,122
S00137289,119
S00137290,111
S00137291,96
S00137292,65
S00137293,119
S00137294,121
S00137295,110
S00137296,116
